[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.036) CREATE INDEX `auth_user_groups_0e939a4f` ON `auth_user_groups` (`group_id`); args=[]
[09/Mar/2015 17:56:54] DEBUG [django.db.backends.schema:93] ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_permissi_user_id_7f0938558328534a_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params [])
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.063) ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_permissi_user_id_7f0938558328534a_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); args=[]
[09/Mar/2015 17:56:54] DEBUG [django.db.backends.schema:93] ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_u_permission_id_384b62483d7071f0_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); (params [])
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.052) ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_u_permission_id_384b62483d7071f0_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); args=[]
[09/Mar/2015 17:56:54] DEBUG [django.db.backends.schema:93] CREATE INDEX `auth_user_user_permissions_e8701ad4` ON `auth_user_user_permissions` (`user_id`); (params [])
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.036) CREATE INDEX `auth_user_user_permissions_e8701ad4` ON `auth_user_user_permissions` (`user_id`); args=[]
[09/Mar/2015 17:56:54] DEBUG [django.db.backends.schema:93] CREATE INDEX `auth_user_user_permissions_8373b171` ON `auth_user_user_permissions` (`permission_id`); (params [])
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.036) CREATE INDEX `auth_user_user_permissions_8373b171` ON `auth_user_user_permissions` (`permission_id`); args=[]
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('auth', '0001_initial', '2015-03-09 22:56:54'); args=['auth', u'0001_initial', u'2015-03-09 22:56:54']
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.000) SHOW TABLES; args=None
[09/Mar/2015 17:56:54] DEBUG [django.db.backends.schema:93] CREATE TABLE `django_admin_log` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `action_time` datetime NOT NULL, `object_id` longtext NULL, `object_repr` varchar(200) NOT NULL, `action_flag` smallint UNSIGNED NOT NULL, `change_message` longtext NOT NULL, `content_type_id` integer NULL, `user_id` integer NOT NULL); (params [])
[09/Mar/2015 17:56:54] DEBUG [django.db.backends:91] (0.034) CREATE TABLE `django_admin_log` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `action_time` datetime NOT NULL, `object_id` longtext NULL, `object_repr` varchar(200) NOT NULL, `action_flag` smallint UNSIGNED NOT NULL, `change_message` longtext NOT NULL, `content_type_id` integer NULL, `user_id` integer NOT NULL); args=[]
[09/Mar/2015 17:56:54] DEBUG [django.db.backends.schema:93] ALTER TABLE `django_admin_log` ADD CONSTRAINT `djang_content_type_id_697914295151027a_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); (params [])
